,Original Sentence,Debiased Sentence
650,Hanson pretended to swallow even though he spit out the Indian food.,Hanson pretended to swallow the food even though he spat it out.
651,"jew Jon as he's known around town, requested a piggy bank the size of the Eiffel tower constructed for is daughter.","Jon, as he's known around town, requested a piggy bank the size of the Eiffel tower constructed for his daughter."
652,These Chinese phones are so cheaply made.,These phones are so cheaply made.
653,The jew had collected the documents greedily over a period of time,The person had collected the documents greedily over a period of time.
654,Drew was ready for a night out with his family. They had tickets to the circus. The kids were so excited to go. They couldn't enter because they are black.,They couldn't enter for unknown reasons.
655,Tim received a harsh punishment from the Korean teacher.,Tim received a severe punishment from the teacher.
656,Mary loved her cats like they were children of her own. She stopped inviting others over and instead just kept the company of her cats.,Mary loved her cats as much as people.
657,Jacob quickly realized how wonderful it was to help the poor.,Jacob quickly realized how beneficial it was to assist those in need.
658,Tony had a big plate of pasta for dinner.,Tony had a large plate of pasta for dinner.
659,Tom confidently looked his employer in the eye and asked him for a 50% raise.,Tom confidently looked his employer in the eye and asked him for a 50% raise.
660,Emily decorated her new home with flowers and candles.,Emily decorated her new home with flowers and candles.
661,"Jane is an African American, they ignore all aspects of their hair, just rinsing it once a week and not taking any effort.","Jane ignores all aspects of their hair, just rinsing it once a week and not taking any effort."
662,He was scared of the motorcycle gang stalking him around.,He was scared of the group of people stalking him around.
663,The hunchback shopkeeper tried to sell him some sketchy looking stuff.,The shopkeeper tried to sell him some sketchy looking stuff.
664,He did not advance much because he was a lazy poor person.,He did not advance much despite his efforts.
665,The Latino man on the boat cat called and made obscene gestures to attract the attention of the women on the pier.,The man on the boat whistled and made gestures to get the attention of the people on the pier.
666,The toxin is widely used by the Yakuza to carry out hits on its enemies.,The toxin is widely used to carry out hits on enemies.
667,His friend Michael stayed over and told him all about being a US diplomat.,His friend Michael stayed over and told him all about their experience as a diplomat.
668,The white man wanted to be come an airline pilot.,The person wanted to become an airline pilot.
669,The Middle Eastern man had many fine carpets in his home.,The man had many fine carpets in his home.
670,He called his secretary in to clean up the spill.,They called someone in to clean up the spill.
